,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Rank
6076,CCDC71,14684008.502613278,-0.0176939113070194,0.1775919058519857,-0.0996324197442112,0.9206361546407452,0.930681410034543,-0.000552031646117927
6077,BTBD10,9849208.565716946,-0.0134539372671365,0.1036746976311113,-0.1297706921220782,0.8967478511001855,0.9092588695741812,-0.0005558151621461047
6078,RAD51D,8486335.243354838,-0.0179753018580489,0.1767293022367089,-0.1017109309579749,0.9189861254965894,0.929168161042328,-0.0005735142323950674
6079,GIMAP9,4504525.889358773,-0.0230614266387847,0.2865063475503985,-0.0804918524003313,0.9358460760529792,0.9438560599181492,-0.0005787087787032878
6080,RNF121,15937947.693841057,-0.0150142476374462,0.1225175934766737,-0.1225476865108753,0.902465282185354,0.9145212599051216,-0.0005826458067694339
6081,PRKCI,8260505.270391985,-0.0190946041596522,0.1955647216852554,-0.0976382856535001,0.92221952218058,0.931971552098726,-0.0005842441726967724
6082,ZFP202,2354763.6252199444,-0.0197930683535936,0.2094946442485003,-0.0944800685697497,0.92472781459139,0.933962010959116,-0.0005872759429455228
6083,DDRGK1,76572166.24428646,-0.0149995007934907,0.1197042789809227,-0.1253046333947777,0.9002823841785277,0.912461569668041,-0.0005967614052079579
6084,CYLD,11347395.831818445,-0.0138247668570604,0.0963722317105859,-0.1434517662574988,0.8859334021265296,0.9005450707254291,-0.0006289515001754947
6085,PEF1,36157533.84273667,-0.0149502273875295,0.1124518566719426,-0.1329478038868137,0.8942346603978453,0.9071653354437184,-0.0006325972445016217
6086,COX6A1,255474289.88485,-0.0176650102754743,0.1547304248083997,-0.1141663657767929,0.9091059137636424,0.9205588582804376,-0.0006350295363013011
6087,COG1,19165464.688091453,-0.0144471316785708,0.1035450446957203,-0.1395250899840303,0.8890352309054247,0.9028717762111236,-0.00064107590605091
6088,ESCO1,7986814.43712397,-0.0162854092628462,0.129946411321855,-0.1253240400961141,0.9002670209754149,0.912461569668041,-0.000647921810857886
6089,PLA2G6,6319849.652088624,-0.0169959895136836,0.1405873437569504,-0.1208927422589801,0.9037759908459582,0.9156201336308344,-0.0006506857846380209
6090,GSTT1,30493297.16154841,-0.0193210123431953,0.1751838786669158,-0.1102898993344653,0.9121794675590592,0.9230550440023596,-0.0006718379729387227
6091,LTO1,15839447.949904004,-0.0156826885970111,0.1146126836877792,-0.136832051151799,0.8911635487548883,0.9046547332919104,-0.0006824657579543011
6092,TRPM4,15240525.429635204,-0.0182378117666025,0.1510506357097953,-0.1207397220203811,0.9038971955101698,0.9156664937740532,-0.0006978275063000821
6093,2010315B03RIK,8596127.130965995,-0.0178199845003733,0.1335222124934584,-0.1334608239902135,0.8938289449793043,0.9069053590715448,-0.0007562450683410138
6094,EFTUD2,30900514.37073,-0.0215817721753443,0.1931991471755804,-0.1117073884168378,0.9110554208915388,0.9220713511808376,-0.0007604439146678708
6095,IL17RD,2964790.0987268644,-0.0184388794910202,0.1399916874458682,-0.1317141026544891,0.8952104304012698,0.90800342585494,-0.0007728197745810223
6096,PAF1,44704039.56967074,-0.01954925516423,0.1550032873538977,-0.1261215519874486,0.8996357076734748,0.912034629471514,-0.0007817487414091154
6097,GTF2B,22182960.99660789,-0.0175313491814438,0.1245948073048097,-0.1407069007182218,0.8881014933526338,0.9020744685597888,-0.0007846612693699333
6098,LRRC8B,2935474.38628282,-0.0189448034198351,0.144757166461342,-0.1308729915274656,0.8958757805281223,0.9085264328434008,-0.0007892865979606043
6099,MEAF6,20409313.506193817,-0.0177288310428173,0.1254536323565607,-0.1413177977376452,0.8876188901490001,0.901735202957932,-0.0007963963851878857
6100,CAMK2N1,6686542.8433849765,-0.0166275557992109,0.1054915581659701,-0.1576197762957558,0.8747564191442037,0.8900091088233045,-0.0008414465819859319
6101,TMEM248,25928021.422526818,-0.0197939833859601,0.1469634006457407,-0.1346864817974245,0.8928597617569058,0.9059977366811776,-0.0008486252180309998
6102,TMEM120B,7602828.300409209,-0.0246149030353727,0.2251351536169652,-0.1093338940628143,0.9129376641529584,0.9236682585715618,-0.0008488198349964538
6103,SAP130,12894563.842966432,-0.0175142175720846,0.1101638069782263,-0.1589834089116608,0.8736819453428045,0.8891395078505466,-0.0008937521334836253
6104,BCORL1,3687661.822575679,-0.0266058712761251,0.2459794720369905,-0.1081629741530794,0.913866414942776,0.9245308558940128,-0.0009066905744608816
6105,SNTB1,2547158.248479776,-0.0254440784156352,0.2196666654439683,-0.1158304031438278,0.9077869544622716,0.9193766911138676,-0.0009288745306145402
6106,CDYL,4046876.760007196,-0.0206610224382208,0.1447152228446266,-0.1427702078060133,0.8864716667300838,0.9007992199618884,-0.0009374318804296831
6107,RMND5B,16965717.696733974,-0.0202211712694913,0.137212747144862,-0.1473709381253252,0.8828392430557412,0.8978565353584325,-0.0009462103154822682
6108,NOC2L,26489443.24618053,-0.0158723164307664,0.0851236813118421,-0.1864618186873267,0.8520826180156861,0.869637296910224,-0.0009628439601891913
6109,RHBDD1,9079680.606656386,-0.0209499584196752,0.1444810073568116,-0.1450014697636837,0.8847097113519798,0.899532693866045,-0.0009633429316582089
6110,DYNC1H1,80083982.18561924,-0.0170160538020129,0.0965873223728771,-0.176172745904707,0.8601582315047821,0.8769943259218363,-0.0009699697983917635
6111,ZFP426,7829032.548536264,-0.0230377258872016,0.1679874674276688,-0.1371395511818234,0.8909204904691668,0.9044836464093916,-0.0010044282852507869
6112,TADA3,20430728.253555384,-0.016906114601939,0.0906600471616302,-0.1864781139127197,0.8520698403948647,0.869637296910224,-0.0010255560620748834
6113,TMX3,19450180.860881034,-0.0265409418078675,0.2110929360578134,-0.1257310751535457,0.8999448026404614,0.912271783984572,-0.0010583401565538966
6114,RTN4RL1,4661635.40099346,-0.0216566030887901,0.1339291805006217,-0.1617019010184236,0.8715406074485483,0.8872168477319557,-0.0011254984222333465
6115,SPRTN,8209096.514795012,-0.0206545083528672,0.1223238074191927,-0.1688510911215028,0.8659137703288522,0.8820248855370809,-0.0011260664759319122
6116,PES1,25257688.7461845,-0.020670226511608,0.1194518110481772,-0.1730423869695145,0.8626181101662833,0.8793432040477364,-0.0011542582827210781
6117,ITPR2,9095068.113292372,-0.0243434563375479,0.1587384358117788,-0.1533557780953112,0.8781177162689234,0.8932792492126329,-0.0011931398494281714
6118,NCALD,5785804.105740018,-0.027142256127872,0.1928268942802015,-0.1407597017479882,0.888059779369069,0.9020744685597888,-0.0012148224832235037
